文本,价格,外观,质量
包装 价格 实惠 飘亮 鱼盘 ,1,1,0
砂锅 挺 厚重 三人份 够吃 煲 汤 好喝 煲仔饭 不错 ,0,1,1
运输 一点 损坏 容量 挺 更贵 盘子 装 清洗 加点 洗洁精 OK ,-1,0,1
质量 真真 不错 送货 速度 很快 特别 光滑 特别 平稳 炖 东西 特别 烂 口感 这过 哪过 吃 营养 不赖 煲 粥 棒棒 哒 五星 好评 ,0,0,1
不错 双十 一买 价格 超级 亲民 质量 杠杠 厚实 好看 太棒了   美观 程度 美丽 ,1,1,1
不错 砂锅 双十 优惠 买 第二天 送到 京东 物流 call 锅 质量 锂辉石 材质 不错 煲汤 评价 ,1,0,1
包装 锅 很漂亮 收到 几天 昨天 煲 汤 不错 够 五六个 够用 京东 一如既往 ,0,1,0
想象 中 想着 买回来 换个 3.2 L 足够 外观 时尚 收到 锅内 底部 气泡 说 第一次 先熬 稀饭 期待 效果 ,0,1,0
京东 自营 商品 速度 超级 砂锅 理想 中 产品 质量 不错 关注 砂锅 这回 此款 砂锅 搞 活动 优惠 力度 很大 值得 点赞 实物 期待 效果 信赖 京东 自营 商品 ,1,0,1
第一次 购买 质量 孩子 喜欢 下次 还会 光顾 店铺 ,0,0,1
好用 炖 味道 好吃 油腻 外型 好看 上桌 不大不小 适合 一家人 吃 京东 买 东西 第二天 送货上门 ,0,1,1
卖家 包装 严密 破损 碗 盘子 勺子 做工 精细 质量 瓷质 光滑 款式 简单 大方 整体 不错 nice ,0,1,1
质量 超好 颜色 喜欢 包装 买 两套 推荐 购买 碗 点儿 适合 吃 米饭 盘子 物有所值 ,1,1,1
漂亮 24.9 入手 价格 美丽 包装 密实 磕碰 每一件 完好 如初 ,1,1,1
心心念念 砂锅 回来 满意 太 喜欢 4600 亳升够 够 我家 吃 小鹿 太漂亮 多家 买 这款 失望 ,0,1,0
包装 完好 颜值 担当 满意 购物   喜欢 京东 买 东西 ,0,1,1
京东 商城 尚行 知是 官方 旗舰店 尚行 知是   碗碟 套装 网红 景德镇 陶瓷 釉下彩 ,0,1,0
不错 贵 ,-1,0,0
经典 挺 好看   表面 手感 舒服   手工 工艺 ,0,1,1
外观 包装   美观 程度 喜欢 颜色   体验 高档 货   隔热 效果 不错   产品 性价比 高 去过 景德镇 选择 网络 买 ,1,1,1
外观 包装 包装 超好 放 倒 无损   美观 程度 颜值 超高   夸 物超所值 值得 买 ,1,1,1
收到 货 京东 配送 很快 看开 碎裂 挺 精致 预期 还好 谢谢 ,0,0,1
物品 收到 包装 精美 外观 包装 还好 明白 包装箱 扣出 洞 美观 程度 不错 瓷碗 瓷盘 挺 漂亮 摆着 挺 好看 舍不得 瓷质 效果 不错 花纹 好看 纹路 清晰 真心 不错 品牌 值得 信赖 值得 购买 ,0,1,1
收到 包装 破损 污垢 实物 厚实 光亮 特别 漂亮 件套 一件 家人 喜欢 祝 店家 生意兴隆 ,0,1,1
外观 漂亮 表面 光滑 冲洗 容量 合适 款 杯子 满意 ,0,1,1
质量 碗 花纹 好看 ,0,1,1
盘子 挺大 白色 好看 满意 ,0,1,0
品牌 值得 信赖 煮 奶茶 煲 汤 好用 锅体 厚实 配色 好看 一家 四口 人用 合适 不错 购物 体验 京东 购物 越来越 京东 购物 放心 疫情 期间 送货 很快 不错 ,0,1,1
"喜欢 小熊 家 东西 颜值 质量 不错 无意 这款 家里 大小 想来 做 手 汤 清水 测试 盛装 量 平锅 口 水量 1.1 升 第一 锅 做 馄饨 汤 味道 貌似 更鲜 把手 圆形 设计 cute ,   端的 担心 把手 短 不稳 总体 感觉 不错 一顿 试试 煲仔饭 ",0,1,1
薄 瓷器 好看 清洁   感觉 防烫 功能 弱 瓷器 薄 缘故   颜值 高 性价比 不高 贵 ,-1,1,-1
好用 便宜 锅 炖 特别 好吃 哈哈哈 ,1,0,1
双十 一在 活动 购买 性价比 高 商品 包装 送货到 家 包装 完好 损坏 老家 买 质量 不错 推荐 购买 ,1,0,1
拌面 泡粉 太 特别 好用 一盆 吃饱 颜值 高 ,0,1,1
泡沫 箱 发来 收到 完好无损 包装 精美 做工 精致 色泽 光亮 图案 很漂亮 大小 厚度 适中 喜欢 态度 特别 发货 速度 超级 好评 ,0,1,1
收到 砂锅 迫不及待 开锅   第二天 剁 牛肉 萝卜   我爸 说 锅 质量 锅   信任 小熊   放心 开心 购物 ,0,0,1
盘子 美观 花纹 好看 ,0,1,0
    宝贝   无气泡   无裂 横   速度   通知   完美   期待 后续 感受 ,0,0,1
外观 包装 结实   美观 程度 晶莹剔透   商品 淡雅 素净   体验 美满 生活   瓷质 效果 骨瓷 硬实   隔热 效果 厚实 烫手   特别 售后服务 态度 贴心 下回 ,0,1,1
物美价廉 颜值 不错 大小 合适 拿到 家开 箱用 水泡 下午 熬 一锅 小米粥 开 锅 粥 熬 粘用 时 短 真心 不错 实体店 网店 找 好长时间 找到 发现 挺 满意 运气 不错 强力 推荐 ,1,1,1
买 品牌 锅 失望 款 砂锅 锁热 效果 煮汤 节省时间 食物 酥烂 可口 点赞 样子 好看 大气 美观 心意 ,0,1,1
买 砂锅 宝贝 煮粥 选 家 选择 买 小熊 家 失望 包装 打开 瑕疵 材质 放心 特别 满意 ,0,0,1
瓷 特 通透 整体 ,0,0,1
完 锅 能装 熬 一锅 鸡汤 吃 一点儿 剩下 装好 冻 随取 随用 特别 保温 效果 特别 熄火 粥 汤 滚 好长时间 ,0,0,1
实用 效果 体验 感 特别 清洁   美观 程度 简洁 美观 ,0,1,1
东西 收到 不错 咖啡机 挺 搭调   美观 程度   外观设计 设计 感 不错 挺 新颖 显 高档   手工 工艺 显 档次   表面 手感 手感 光滑 表面 瑕疵 ,0,1,1
质量 花色 特别 喜欢 没想到 一套 漂亮 便宜 ,1,1,1
疫情 下单 好久 发 货 值得 产品质量 不错 很漂亮 ,0,1,1
厚实 圆润 质量 杠杠 超 喜欢 ,0,0,1
京东 物流 速度 超快 早上 下单 中午 收到 真心 方便快捷 杯子 不错 挺 漂亮 ,0,1,0
美观 程度 满分   表面 手感 满分   手工 工艺 满分   实用 效果 满分   外观设计 满分 ,0,1,1
碗 外包装 完好 两层 防护 价格便宜 推荐 ,1,0,1
套餐 具挺 生活气息 喜欢 装鱼 盘子 深度 实用 两个 碟子 人口 不多 家庭 足够 关键 图案 混 搭 风格 喜欢 ,0,1,1
外形 好看 实惠 物美价廉 微波 挺 ,1,1,0
杯子 大小 合适 外观 不错 洁白 细腻 实用 手感 不错 多喝水 身体 说点 小贵 不错 包装 收到 一点 破损 ,-1,1,1
挺 全白显 干净 大小 适合 家用 全 五星 好评 ,0,1,0
搬 新 住处 京东 再三 选了 这套 碗盘 整体 感觉 不错 外观 纯白 质地 晶莹 分量 重 轻   外观 包装 完整 破损 瑕疵 满意 ,0,1,1
太 完美 味道 大小 合适 ,0,1,0
外观设计 可爱 时尚 新颖   美观 程度 大方 漂亮 美观   表面 手感 光滑 细腻 圆润   手工 工艺 工艺 精细 做工 质量   实用 效果 大小 适中 喝咖啡 正好 杯口 清洗   特色 马克杯 盖 不错 盖上 缺口 适合 放 勺子 价格 实惠 物流 送货 很快 ,1,1,1
砂锅 质量 大小 刚刚 合适 炖汤 物流 很快 ,0,1,1
美观 程度 好看   表面 手感 不错   外观设计   手工 工艺 把手 一点点 瑕疵 影响 总体 满意   实用 效果   特色 水煮 褪色 ,0,1,1
价格 美丽 物流 速度 赶上 过年 除夕 满意 售后 服务态度 说 年 开工 补发 ,1,0,0
黑色 锅体 盖子 好看 不大不小 正 正好   家里 东西 小熊 性价比 高   回来 烧锅 米汤 放置 再用 黑色 锅体 不留 痕迹 ,1,1,1
杯子 简约 时尚 ,0,1,0
颜色 淡雅 大小 正合适 质量 釉质 细腻 喜欢 ,0,1,1
好看 物流 很快   担心 会碎 太小   收到   不小   没碎   瑕疵   一点 影响   好评 ,0,1,1
东西 官方 描述 相符 美观 缸 好像 陶瓷材料 不错 简单 一句 好评 评价 ,0,1,1
外观设计 简约 喜欢 风格   表面 手感 打磨 光滑 划 着手 ,0,1,1
东西 很漂亮 喜欢 价格 特别 优惠 京东 东西 迷 京东 大大小小 京东 买 发货 速度 东西 质量 特别 ,1,1,1
买来 送 客户 先 打开 东西 做工 不错 卖家 服务 天下 大雨 发 货 打电话 同意 晚一点 发货 ,0,0,1
砂锅 好看 拆开 洗 发现 盖子 碎 申请 售后 服务 打电话 发出 第二天 一早 收到 家里 两个 锅 特别 棒 ,0,1,-1
不错 很快 完好无损 通化 下单 第二天 媳妇 想要 能炖 一只 砂锅 这款 4600 毫升 砂锅 特别 厚 重 盖子 锅 配套 未 不严 状况 泥火匠 关注 久 活动 合算 搞 点 优惠活动 媳妇 喜欢 图案 ,1,1,-1
好看 好用 深度 够 能装 东西 一家 三口 四个 盘子 足够 一顿饭 ,0,1,1
喜欢 态度 挺 值 还会来 买 __ 满意 购物 物有所值 实体 店里 实惠 商品 收到 包装 物流 态度 解答 总体 满意 宝贝 介绍 质感 功能强大 感觉 不错 做 活动 价格便宜 性价比 超高 特别 划算 ,1,0,1
杯子 好看 大小 正好 携带方便 咖啡 必备 包装 结实 ,0,1,1
收到 砂锅 特别 惊喜 颜色 搭配 太漂亮 大小 正合适 买 砂锅 里 喜欢 特别 高档 物流 很快 次日 达 赞赞赞 ,0,1,0
下午 下单 第二天 拿到 手 熬 小米粥 特别 砂锅 外观 漂亮 特 喜欢 ,0,1,0
包装 严实 破损 质量 不错 花色 美丽 喜欢 ,0,1,1
不错 摆放 好看 喜欢 ,0,1,0
宝贝 收到 包装 严实 质量 满意 喜欢 态度 好评 星 ,0,0,1
包装 完美 打开 损坏 当天 晚上 洗 烫手 隔热 效果 ,0,0,1
意见 图片 挺 重量 个人感觉 好评 ,0,0,1
外观 包装 外包装 不错 保护 保丽龙 保护 一点 破损   美观 程度 景德镇 瓷器 确实 不错 特别 喜欢   商品 外观 好看 坚固   体验 异味 特别 好用 ,0,1,1
多家 砂锅 相 中 小熊 家 一眼 喜欢 蓝色 盖子 特别 清新 黑色 锅身 厚实 光滑 分量 一家 四口 煲汤 容量 绰绰有余 ,0,1,1
外观 包装 包装 到货 一点 损伤 严实   美观 程度 花纹 确实 好看 买 原因 冲着 好看   商品 一套 东西 两三个 足够   体验 整体 小巧 设计 适合 居家   瓷质 效果 整体 光滑 好看 凸起   隔热 效果 隔热 ,0,1,1
日常 两个 肯定 够用 好看 包装 不错 损坏   收到 物流 很快 做工 细致 上档次 花色 好看 图案 清晰 漂亮 性价比 高 ,1,1,1
不错 套餐 瓷器 质地 光滑 细腻 颜色 淡淡的 象牙白 图案 简洁 大方 清新 淡雅 大碗 碗 大勺 小勺 包括 盛菜 盘子 一套 足够 京东 商城 秒杀 质量 保证 价格 便宜 京东 小哥 敬业 送货上门 速度 很快 值得 信赖 ,1,1,1
3L 3.5 L 4L 之间 犹豫 久 最终 选择 4L 满意 药煲 精致 紧要 够用 外溢 底部 够 宽 稳稳 架 煤气炉 升 PS 药罐 升 买 电饭煲 炒锅 升 偏小 参考 照片 升 很大 哈哈哈哈 ,0,1,1
炊大皇 品牌 陶瓷 煲 3500ml 砂锅 耐热 用于 煲汤 肉 炖 软 煮粥 焖饭 不错 外观 圆润 光滑 漂亮 ,0,1,1
物流 很快 破损 好评 ,0,0,1
锅 不错 喜欢 一家 几口 煲 一餐 质量 看着 行 希望 能耐 用久 一点 样子 喜欢 可爱 小哥 太给力 京东 棒棒 哒 ,0,1,1
颜值 高 容量 递给 力 煲汤 煮粥 煮 银耳汤 不错 ,0,1,0
包装 速度 很快 牌子 不错 前 一阵 刚买 品牌 蒸锅 质量 今晚 炖排骨 升 容量 很大 关键 价格 实惠 超市 价格 翻一番 ,1,1,1
两个 字 实惠 价格 确实 便宜 包装 结实 破损 京东 物流 力 ,1,0,1
外观 包装 外箱 包装 完好 不错   美观 程度 流行 花式 很漂亮 好看   商品 不大不小 刚刚 喜欢 样式   体验 陶瓷 质量 ,0,1,1
颜值 高 小巧 适合 两三个 炖汤 煨 烧菜 煮 大米粥 开锅 密封性 装太 满会溢 导热性 保温 性 ,0,1,1
漂亮 砂锅 受热 均匀 保温 效果 物有所值 ,1,1,1
款 陶瓷 锅 用料 厚重 造型 美覌且 容量 非常适合 煎 中药 包装 严谨 附送 实用 漏勺 小铲 勺 活动 期间 购买 实惠 ,1,1,1
京东 物流 很快 包装 做 包装 紧实 不用 担心 摔坏 杯子 店家 描述 破损 异味 回来 几天 杯口 滑 做工 不错 对得起 价格 图案 真心 不错 盖口会 点点 粉末 洗洗 图案 确实 很漂亮 店家 送 塑料杯 垫 谢谢 ,1,1,1
买贵 呜呜   物超所值 满意 期间 插曲 店家 细致 周到 服务 感动 祝 生意兴隆 还会 整体 不错 店家 服务态度 质量 异味 价格 实惠 质量 杠杠 购物 下次 还来 质量 收到 货 第一 时间 打开 不错 满意 开心 购物 店家 服务态度 售后 东西 满意哦 美观 时尚 大气 超级 耐心 服务 细致 贴心 品牌 搞 活动 买 外观 描述 美观 实用 材质 手感 不错 好评 ,1,1,1
款 爱仕达 砂锅   包装 完整 做工 精湛   锅体 里外 光洁 细腻 沉甸甸 实在 感 深色 锅体 红色 盖 特别 养眼 质量 挺 满意 京东 物流 棒极了 好评 ,0,1,1
太 意外   超级 喜欢   真 好看   爱 爱   满意   大爱 京东   大爱惠 寻 ,0,1,0
杯子 外形 不错 喜欢 ,0,1,0
质量 容量 熬 一副 药 够用 样式 盖 套 胶皮 隔热 行 ,0,1,1
卖家 我怕 过年 停运 没想到 第三天 收到 小哥 OK 设计 做工 精致 图案 漂亮 文雅 餐桌 带来 美食 ,0,1,1
碗 厚实 样子 简洁 漂亮 喝粥 盛放 小菜 不错 ,0,1,1
卖家 宝贝 很漂亮 包装 扎实 ,0,1,1
杯子 好看 勺子 小巧 上班 喝咖啡 ,0,1,0
包装 完好无损 送货 速度 惊人 ,0,0,1
第二次 购买 老年人 喜欢 入口 东西 想 选有 品质 一点 地方 样式 反馈 颜色 脱落 两套 买回去 听到 老人 反馈 ,0,-1,1
两个 鱼盘 收到 包装 到位 泡沫 内隔加 黄板纸 包装 老板 用心 鱼盘 大气 瓷质 发光 气泡 裂痕 美观 价格 实惠 力 速度 很快 临近 春节 没想到 收到 货 五星 点赞 ,1,1,1
农场 种过 几次 水果 物品 这套 碗碟 很漂亮 颜值 高 包装 到位 破损 太 好看 喜欢 ,1,1,1
第二次 購買 這次 買 容積 夠 一家人 七八 個 量 顏值 買 回來 ,0,1,0
包装 完好 碗 盘子 厚实 美观 喜欢 还会 买 ,0,1,1
容量 很大 好久 评价 不愧 苏 珀尔 ,0,1,0
花色 清清爽爽 不错   包装 挺 顺利 手上 ,0,1,0
脚 不行 支架 ,0,0,-1
整体 不错 店家 服务态度 质量 异味 ,0,0,1
好看 实用 特别 舒服 满意 ,0,1,1
图片 漂亮 图片 拍 很亮 亮 习惯性 五星 ,0,1,0
好好看 特别 喜欢 买 两个 超级 喜欢 做工 质量 喜欢 超级 喜欢 超级 喜欢 超级 喜欢 超级 喜欢 超级 喜欢 超级 喜欢 超级 喜欢 超级 喜欢 超级 喜欢 超级 喜欢 超级 ,0,1,1
一眼 看中 物美价廉 值得 购买 ,1,1,0
一套 整体 效果 不错 一家 四口 足够 ,0,1,0
看着 图片 买 收到 一看 太小 尺寸 碗 特别 好看 特别 可爱 孩子 特别 喜欢 不错 不错 不错 不错 ,0,1,0
包装 稳妥 很漂亮 不沾面 挺 光滑 厚实 挺 满意 ,0,1,1
外观 包装 宝贝 收到   美观 程度 样式 好看 时尚   商品 清洗 省事 ,0,1,0
杯子 好看 耳机 实用 ,0,1,1
很棒 好看 质量 喜欢 ,0,1,1
一段时间 评价 碗盘 想象 习惯 感觉 大小 合适 顺手 适合 家里 人口 不多 家庭 款式 颜色 雅致 大方 配菜 好看 店家 包装 结实 包装箱 有点儿 破损 货品 ,0,1,-1
超级 好用     美观 程度 显得 成熟 稳重 咖啡杯   外观设计 外观设计 简约 简单 品味   表面 手感 手感 特别 棒 总体 感受 超出 期望值 服务态度 极好 耐心 一种 亲切感 物流 速度 卖家 发货 很快 物流 给力 ,0,1,1
款式 新颖 色彩 华丽 品质 优良 包装 完好 发货 值得 期待 ,0,1,1
外观 包装 包装 特别 完美 里三层外三层 卖家 用心   美观 程度 花纹 特别 高档 奢华 喜欢   商品 套餐 具 全 家里 客人 套餐 具来 招待 客人 显得 特别 面子 装 勺子 花篮 特别 漂亮   体验 效果 套餐 具 轻薄 刷碗 特别   瓷质 效果 特别 没想到 实物 照片 漂亮   隔热 效果 隔热 效果 棒 套餐 具 特别 划算 特别 实用 ,1,1,1
很快 好看 ,0,1,0
买来 放在 公司 公用 环保 外包装 简洁 大方 头 刚刚 功能 配比 一套 就够 图案 精致 简洁 花哨 放进 微波炉 里 价格 不贵 性价比 不错 ,1,1,1
美观 程度 造型 美观大方 赏心悦目   外观设计 设计 高档 实用   表面 手感 手感 温暖 细腻   手工 工艺 工艺 精湛 完美   实用 效果 使用方便 简洁 ,0,1,1
质量 包装 结实 精致 设计 简洁 实用 激发 食欲 每顿饭 想 心情 好好 感谢 ,0,1,1
发货 速度 包装 送 手套 隔热 垫 煮 米粥 开 锅 迫不及待 第二次 炖 牛肉 萝卜 炖 小时 入味 好吃 感觉 肉炖 很烂 时间 不太长 做饭 肯定 用到 ,0,0,1
砂锅 收到 两周 满意 颜值 高 容量 刚刚 赶上 618 促销 合适 买 一批 质量 很快 解决 服务周到 小熊 品牌 值得 信赖 五星 好评 ,0,1,1
物美价廉 产品   外观 包装 包装 损坏   美观 程度 简洁 大方   商品 价格便宜   体验 勺子 ,1,1,1
想 买 物品 收到 泡沫 箱 包装 商品 花纹 好看 美 资质 很亮 隔热 喜欢 碗 盘 汤碗 轻巧 好用 ,0,1,1
着急 砂锅 娃 煎 中药 京东 选 一款 第二天 送货上门 打开 时 惊艳 锅比 想象 中 好多 厚度 特别 厚 锅体 特别 深 熬 东西 渐 特别 贴心 送 手套 锅 垫 一段时间 后锅 一如 往常 推荐 购买 ,0,1,1
漂亮 碗 喜欢 包装 特别 服务 下次 还会 购买 ,0,1,0
收到 碗 盘子 筷子 四个 碗 四个 盘子 四双 筷子 说 碗 盘子 质量 图案 清新 日式 风格 喜欢 碗 盘子 值得 拥有   外观 包装 塑料 泡沫 箱子 包裹 包裹 严实 棒棒 哒 ,0,1,1
物流 很快 买 炊大皇 东西 买 几样 质量 真不错 值得 信赖 品牌 每件 商品 做工 选材 炖锅 开箱 看着 艺术品 表面 光滑 圆润 瑕疵 感觉 谱 大小 适合 三四口 炖 鸭 酱个 肘子 猪蹄 送 锅 垫 手套 太 贴心 ,0,1,1
外观 包装 泡沫板 包装   美观 程度 好看 ,0,1,0
第一次 京东 买 盘子 感觉 I 性价比 起高 白色 瓷盘 深度 正好 盛 略带 汤 炒菜 做工 精致 粗糙 物流 超级 晚上 下单 天 值 ,1,1,1
航方 煎药 砂锅 做工 精致 釉面 匀净 光滑 细腻 漏釉 瑕疵 黑色 砂煲 颜色 大气 上档次 耐脏 砂煲 设计 人性化 细节 做 到位 拍开 盖子 烫手 还加 硅胶套 子 配 过滤 药物 残渣 过滤网 配 勺子 东西 齐全 ,0,1,1
外观 包装 超 严实   美观 程度 质感 ,0,1,1
美观 程度 杯子 好看 每次 感慨 一遍 本来 想 买个 杯子 看个 好看 心情 ,0,1,0
宝贝 收到 包装 严实 损坏 盘子 碗 筷子 汤勺 挺 碗 挺 厚实 质量 漂亮 真心 不错 ,0,1,1
很漂亮 质感 不错 煲仔饭 足够 做菜 三口 之家 够吃 ,0,1,1
京东 购物 上午 下单 晚上 家 赶上 活动 实惠 月 买 好多 ,1,0,0
包装 情况 损坏 容积 预想 中 合适 ,0,1,1
包装 完好无损 东西 特别 好看 价格 改 便宜 不错 ,1,1,1
牌子 买过 炒锅 第一次 买 家 砂锅 想 炖汤 外观 造型 设计 风格 好看 厚实 洗 干净 煮 东西 时后 先 煮 大米粥 漏 现象 惟一 把手 烫手 ,0,1,-1
药煲 质量 超出 预想 实物 厚实 外观 圆润 做工 精致 菱角 粗糙 推荐 ,0,0,1
外观 包装 包装 完好 泡沫 包裸 严实   美观 程度 设计 精美 纸 皮箱 包装 自用 送礼 合适   商品 实用 碗 个盘 汤盆 汤匙 汤勺 头 合理配置   体验 实用 清洗 便捷   瓷质 效果 性价比 挺高 质量 不错   隔热 效果 隔热 效果 不错 盛热 粥 热汤 烫手 ,1,1,1
哈哈哈 买回来 安排 猪脚 姜 猪脚 烂 味道 高压锅 好吃 存 气性 红色 盖子 吸引 眼球 一颗 耀眼 珍珠 ,0,1,0
瓷片 花纹 清晰   不错 不错 ,0,1,0
杯子 收到   大小 合适   好看   京东 物流 超级 ,0,1,0
釉面 光滑 摸 割手 大小 合适 深度 够 清洗 质量 价格 强力 推荐 外观 大气 简洁 大方 质感 黑色 显得 内涵 杯子 不错 贴心 换 杯子 喝水 时间 增多 哈哈哈哈 好评 ,1,1,1
"好看 加 漂亮 , 大小 合适 , 价格 适中 , 我家 汤煲 好多 ",1,1,0
漂亮 喜欢 物流 够快 装饰 家里 家 喜欢 ,0,1,0
外观 好看 质感 不错 物流 很快 满意 购物 ,0,1,1
外观 高大 美的 图案 瓷质 超级 喜欢 搞 活动 抢购 超 实惠 ,1,1,1
没想到 价格 便宜 外面 汤勺 随随便便 出手 十几块 汤碗 实用 好评 全 五星 ,1,0,1
买 砂锅 好多 说 不错 果断 下单 收到 用过 京东 大小 合适 熬个 鸡汤 够用 希望 耐用 追评 ,0,1,1
锅 厚实 挺沉 物流 很快 包装 破损 买来 熬药 感觉 挺大 够用 操作 短时间 损坏 ,0,1,1
这套 碟 性价比 高 白色 百搭 菜 随便 一摆盘 挺 好看 特别 碟子 白色 墨绿色 碗 违和感 ,1,1,1
包装 喜欢 简单 大方 款式 ,0,1,0
  价格 合适   员 ,1,0,0
泡沫 箱子 包装 完好无损 带有 猫咪 图案 简单 好看 洗洗 送 四双 筷子 挺 ,0,1,1
美观 程度 美观 好看   外观设计 优雅 大气   表面 手感 光滑 细腻   手工 工艺   实用 效果   特色 ,0,1,1
杯子 好看 杯盖 支 勺子 ,0,1,0
